repeat_idx,case_idx,initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,final_gap_m,delta_gap_m,final_lead_speed_mps,final_ego_speed_mps,settled,collision,settle_time_s,ticks_executed,spawn_ok,error
0,151,9.5,2.75,5.0,-0.03561304731583803,-9.535613047315838,3.8128260109605,3.4053212657207323,0,1,nan,108,1,
0,152,10.0,2.75,5.0,-0.05131553788374266,-10.051315537883742,3.822311387270038,3.4137140563715995,0,1,nan,108,1,
0,153,10.5,2.75,5.0,-0.06431439165985964,-10.56431439165986,3.9680581041319276,3.2428085425213857,0,1,nan,116,1,
0,154,11.0,2.75,5.0,-0.059614378593670025,-11.05961437859367,3.9699664416903886,3.2388611533146774,0,1,nan,116,1,
0,155,11.5,2.75,5.0,-0.048950097673431614,-11.548950097673432,3.734589618423176,3.5787384380823797,0,1,nan,125,1,
0,156,12.0,2.75,5.0,-0.05594140453314811,-12.055941404533147,3.785034393187525,3.5076976642165882,0,1,nan,125,1,
0,157,12.5,2.75,5.0,-0.040945414141759784,-12.54094541414176,3.845733711096094,3.44568202855747,0,1,nan,133,1,
0,158,13.0,2.75,5.0,-0.05019775799168258,-13.050197757991683,3.841708445429676,3.4438474756268223,0,1,nan,133,1,
0,159,13.5,2.75,5.0,-0.056982289844597744,-13.556982289844598,3.9995345098171673,3.277773480724847,0,1,nan,141,1,
0,160,14.0,2.75,5.0,-0.05317886622880952,-14.053178866228809,4.000081316639565,3.2799778238503166,0,1,nan,141,1,
0,161,14.5,2.75,5.0,-0.05004356752760675,-14.550043567527606,3.8114866785447754,3.5405281229135257,0,1,nan,150,1,
0,162,15.0,2.75,5.0,-0.04344512712306692,-15.043445127123068,3.811510420060917,3.5407716804028464,0,1,nan,150,1,
0,163,15.5,2.75,5.0,-0.06248187193871946,-15.562481871938719,3.9345521652144884,3.4015321973025774,0,1,nan,158,1,
0,164,16.0,2.75,5.0,-0.046151916932759995,-16.04615191693276,3.946619369898512,3.4116962209826025,0,1,nan,159,1,
0,165,16.5,2.75,5.0,0.652973927342936,-15.847026072657064,2.48119063586639,4.848446902149501,0,0,nan,160,1,
0,166,17.0,2.75,5.0,0.6368591729858117,-16.36314082701419,2.4875409409151445,4.848760168191193,0,0,nan,160,1,
0,167,17.5,2.75,5.0,1.6461091461072312,-15.853890853892768,2.4811158384182623,4.848065202589004,0,0,nan,160,1,
0,168,18.0,2.75,5.0,1.6530296821361663,-16.346970317863835,2.4764546964862486,4.8484457388256255,0,0,nan,160,1,
0,169,18.5,2.75,5.0,2.6252728033980706,-15.87472719660193,2.47866888354418,4.848762075507389,0,0,nan,160,1,
